trialN	eyeLXraw	eyeLYraw	eyeLZraw	eyeRXraw	eyeRYraw	eyeRZraw	indexXraw	indexYraw	indexZraw	thumbXraw	thumbYraw	thumbZraw	fingerAtStart	isStimulusDrawn	graspPhase
0	-30.5	0	0	30.5	0	0	296.124576	-362.920119	-2.309632	297.169146	-362.459089	0.652353	1	1	1
0	-30.5	0	0	30.5	0	0	299.792496	-358.555298	-4.099086	300.365041	-358.556133	-0.823922	1	1	1
0	-30.5	0	0	30.5	0	0	302.879168	-353.517427	-7.215053	303.272716	-353.578241	-1.935246	1	1	1
0	-30.5	0	0	30.5	0	0	304.457035	-346.750732	-12.765194	306.211911	-348.038712	-2.100043	1	1	1
0	-30.5	0	0	30.5	0	0	305.588863	-340.871589	-19.838502	308.670299	-342.2507	-2.355291	1	1	1
0	-30.5	0	0	30.5	0	0	307.994375	-335.017015	-25.451852	310.768017	-336.944985	-3.225263	1	1	1
0	-30.5	0	0	30.5	0	0	310.757325	-329.269551	-29.377831	312.574215	-332.015255	-4.454214	1	1	1
0	-30.5	0	0	30.5	0	0	312.90591	-323.679519	-33.327559	314.175199	-326.174676	-5.937047	1	1	1
0	-30.5	0	0	30.5	0	0	314.40744	-318.538686	-38.093376	315.891666	-320.991586	-7.883991	1	1	1
0	-30.5	0	0	30.5	0	0	316.027709	-312.663506	-42.705064	317.008592	-316.040978	-10.192432	0	1	1
0	-30.5	0	0	30.5	0	0	317.533534	-307.004189	-47.422496	317.707522	-310.358645	-12.683641	0	1	1
0	-30.5	0	0	30.5	0	0	318.938759	-301.611649	-52.204122	319.023739	-304.851132	-15.465162	0	1	1
0	-30.5	0	0	30.5	0	0	320.068844	-296.145112	-57.552378	319.371095	-299.902876	-18.300566	0	1	1
0	-30.5	0	0	30.5	0	0	321.052515	-290.723174	-63.29361	319.540017	-294.175911	-20.970128	0	1	1
0	-30.5	0	0	30.5	0	0	321.653434	-286.16088	-69.455858	319.51477	-288.494318	-23.583599	0	1	1
0	-30.5	0	0	30.5	0	0	322.279078	-281.578403	-75.106444	319.251474	-282.545503	-26.121117	0	1	1
0	-30.5	0	0	30.5	0	0	322.601456	-276.541272	-80.183852	318.611493	-276.994829	-28.726154	0	1	1
0	-30.5	0	0	30.5	0	0	322.300942	-272.019234	-85.302853	317.516668	-271.317789	-31.232958	0	1	1
0	-30.5	0	0	30.5	0	0	322.032886	-267.162936	-90.148165	316.633961	-265.851449	-33.760473	0	1	1
0	-30.5	0	0	30.5	0	0	321.714812	-261.403394	-95.239239	315.787638	-260.258613	-36.274435	0	1	1
0	-30.5	0	0	30.5	0	0	321.404281	-256.151941	-100.684258	314.324849	-254.383944	-38.696519	0	1	1
0	-30.5	0	0	30.5	0	0	321.205419	-251.096629	-105.714478	312.702225	-248.313423	-41.087894	0	1	1
0	-30.5	0	0	30.5	0	0	320.681211	-245.456582	-110.342985	311.339746	-242.422913	-43.672366	0	1	1
0	-30.5	0	0	30.5	0	0	320.07359	-239.957179	-114.568972	309.928101	-236.219167	-46.26931	0	1	1
0	-30.5	0	0	30.5	0	0	318.925998	-234.044254	-119.07692	308.757023	-229.72569	-48.852918	0	1	1
0	-30.5	0	0	30.5	0	0	317.769008	-228.427496	-123.574644	307.330271	-223.604541	-51.444495	0	1	1
0	-30.5	0	0	30.5	0	0	316.366467	-222.11156	-128.137178	306.057035	-217.441949	-54.099533	0	1	1
0	-30.5	0	0	30.5	0	0	315.067414	-216.004846	-132.352168	304.718825	-211.965952	-57.179895	0	1	1
0	-30.5	0	0	30.5	0	0	313.197544	-209.788015	-137.0129	302.978468	-206.506491	-60.415165	0	1	1
